"customer_id","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
"0654-HMSHN",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"5287-QWLKY",True,"Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes"
"5196-SGOAK",True,"No","Fiber optic","No","Yes","No","No","No","No"
"1891-UAWWU",True,"Yes","Fiber optic","No","No","Yes","No","Yes","No"
"6108-OQZDQ",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"0363-QJVFX",True,"Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes"
"9840-DVNDC",True,"No","Fiber optic","No","No","No","No","Yes","No"
"3096-JRDSO",True,"Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes"
"8042-JVNFH",True,"No","Fiber optic","No","No","No","No","No","No"
"3374-LXDEV",True,"Yes","Fiber optic","No","Yes","Yes","Yes","No","No"
"5049-GLYVG",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"5883-GTGVD",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"4817-QRJSX",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"2398-YPMUR",True,"No","Fiber optic","No","No","No","No","No","No"
"9985-MWVIX",True,"No","Fiber optic","No","No","No","No","No","No"
"1265-XTECC",True,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes"
"2237-ZFSMY",True,"No","Fiber optic","Yes","No","Yes","Yes","Yes","No"
"4871-JTKJF",True,"No","Fiber optic","No","No","No","No","No","No"
"1415-YFWLT",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"6711-VTNRE",True,"No","Fiber optic","No","No","Yes","Yes","No","Yes"
"3500-RMZLT",True,"No","Fiber optic","Yes","No","Yes","Yes","No","Yes"
"4548-SDBKE",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"8066-POXGX",False,"No phone service","DSL","No","No","No","No","No","Yes"
"4143-OOBWZ",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"7854-EKTJL",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"9102-IAYHT",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"3422-LYEPQ",True,"No","Fiber optic","No","No","No","No","No","No"
"2642-DTVCO",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"4361-JEIVL",True,"No","DSL","No","No","No","No","No","No"
"1363-TXLSL",True,"No","Fiber optic","No","No","No","No","No","No"
"9507-EXLTT",True,"No","Fiber optic","No","No","No","No","Yes","No"
"9846-GKXAS",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"6017-PPLPX",True,"No","Fiber optic","No","No","No","No","No","No"
"7136-RVDTZ",False,"No phone service","DSL","No","No","No","No","Yes","Yes"
"4581-SSPWD",True,"Yes","Fiber optic","No","No","No","No","No","No"
"6927-WTFIV",True,"No","Fiber optic","No","No","No","No","No","No"
"3398-ZOUAA",True,"No","Fiber optic","No","No","No","No","No","No"
"0378-NHQXU",True,"Yes","Fiber optic","No","No","Yes","No","Yes","No"
"4512-ZUIYL",True,"No","Fiber optic","No","No","No","No","No","No"
"7969-AULMZ",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"0568-ONFPC",True,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0733-VUNUW",True,"Yes","DSL","Yes","No","No","No","No","No"
"4550-EVXNY",True,"No","Fiber optic","No","No","No","No","No","No"
"2968-SSGAA",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4844-JJWUY",True,"No","Fiber optic","No","Yes","No","No","No","Yes"
"6777-TGHTM",True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"3538-WZPHD",False,"No phone service","DSL","No","Yes","No","No","No","No"
"4785-QRJHC",False,"No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes"
"8610-WFCJF",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"4905-JEFDW",False,"No phone service","DSL","No","No","Yes","No","Yes","No"
"7881-INRLC",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"0117-LFRMW",False,"No phone service","DSL","Yes","Yes","Yes","No","No","No"
"6172-FECYY",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"1965-AKTSX",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"4786-UKSNZ",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"7248-VZQLC",True,"Yes","Fiber optic","No","Yes","Yes","No","No","No"
"0011-IGKFF",True,"No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"4192-GORJT",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"6496-SLWHQ",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"9912-GVSEQ",True,"Yes","Fiber optic","No","Yes","Yes","No","No","Yes"
"5383-MMTWC",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"7240-ETPTR",False,"No phone service","DSL","No","No","Yes","No","Yes","Yes"
"2202-CUYXZ",True,"No","Fiber optic","No","No","Yes","No","Yes","No"
"5995-OIGLP",True,"No","DSL","Yes","No","No","Yes","No","No"
"6261-RCVNS",True,"No","DSL","Yes","Yes","Yes","Yes","No","Yes"
"7951-QKZPL",True,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3640-PHQXK",True,"Yes","Fiber optic","No","No","Yes","No","No","Yes"
"6877-LGWXO",True,"No","Fiber optic","No","No","No","No","No","Yes"
"8019-ENHXU",True,"Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes"
"5167-GBFRE",False,"No phone service","DSL","No","No","No","No","No","No"
"9033-EOXWV",True,"Yes","DSL","No","No","No","Yes","Yes","Yes"
"1324-NLTJE",True,"Yes","DSL","No","No","No","Yes","No","No"
"1522-VVDMG",True,"No","Fiber optic","No","Yes","No","Yes","Yes","No"
"9185-TQCVP",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"5567-WSELE",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"8063-RJYNF",True,"No","Fiber optic","Yes","No","No","No","Yes","Yes"
"0687-ZVTHB",True,"Yes","DSL","Yes","Yes","Yes","No","No","Yes"
"9661-ACXBS",True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"3727-RJMEO",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"6646-VRFOL",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"5685-IIXLY",True,"No","Fiber optic","No","Yes","No","No","No","Yes"
"4250-ZBWLV",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"5095-AESKG",True,"Yes","Fiber optic","No","Yes","No","No","No","Yes"
"1871-MOWRM",True,"No","Fiber optic","Yes","No","No","Yes","No","No"
"2027-OAQQC",False,"No phone service","DSL","No","No","Yes","No","Yes","Yes"
"9090-SGQXL",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"6595-YGXIT",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"9835-ZIITK",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"1555-DJEQW",True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"5649-TJHOV",False,"No phone service","DSL","No","No","No","No","No","Yes"
"0519-XUZJU",True,"No","Fiber optic","No","No","No","No","No","No"
"6338-AVWCY",False,"No phone service","DSL","No","No","Yes","No","Yes","No"
"9253-QXKBE",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"9445-SZLCH",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","No"
"7568-PODML",False,"No phone service","DSL","No","No","No","No","Yes","Yes"
"5349-IECLD",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"3945-GFWQL",True,"No","DSL","No","No","No","No","No","No"
"3797-VTIDR",False,"No phone service","DSL","No","No","No","No","No","No"
"9526-BIHHD",False,"No phone service","DSL","Yes","No","No","No","No","No"
"4523-WXCEF",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"8364-TRMMK",True,"Yes","DSL","No","No","No","No","No","No"
"3063-QFSZL",True,"No","DSL","No","No","No","No","No","Yes"
"8775-LHDJH",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"3097-NQYSN",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"3565-UNOCC",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"9249-FXSCK",True,"Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes"
"5493-SDRDQ",True,"No","DSL","Yes","No","Yes","No","No","No"
"0871-URUWO",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"9190-MFJLN",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"1095-JUDTC",True,"Yes","Fiber optic","No","Yes","No","Yes","Yes","No"
"0870-VEMYL",True,"No","DSL","Yes","No","No","Yes","No","No"
"5385-SUIRI",True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"3982-XWFZQ",True,"Yes","DSL","No","No","No","No","No","No"
"4009-ALQFH",True,"No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"3627-FCRDW",True,"No","Fiber optic","No","No","No","No","No","No"
"7562-GSUHK",True,"No","Fiber optic","No","Yes","Yes","No","No","Yes"
"4903-UYAVB",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"6776-TLWOI",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4077-CROMM",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"2868-MZAGQ",True,"No","Fiber optic","No","No","No","No","No","Yes"
"4847-QNOKA",True,"No","DSL","No","No","No","No","No","No"
"6379-RXJRQ",True,"No","Fiber optic","No","No","No","No","No","No"
"8650-RHRKE",False,"No phone service","DSL","No","No","Yes","No","No","No"
"0475-RIJEP",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"1260-TTRXI",True,"No","DSL","No","No","No","No","No","Yes"
"6328-ZPBGN",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"4789-KWMXN",True,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"2867-UIMSS",True,"No","Fiber optic","No","No","No","No","No","Yes"
"8111-RKSPX",True,"Yes","Fiber optic","No","No","No","No","No","No"
"1585-MQSSU",True,"No","DSL","No","No","No","Yes","No","No"
"2856-NNASM",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"8559-CIZFV",True,"Yes","DSL","Yes","Yes","No","Yes","Yes","No"
"7547-EKNFS",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","No"
"6769-DYBQN",True,"No","Fiber optic","Yes","No","No","No","No","Yes"
"4439-JMPMT",True,"No","Fiber optic","No","No","No","Yes","Yes","No"
"2446-BEGGB",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"1496-GGSUK",False,"No phone service","DSL","No","No","No","No","No","No"
"2575-GFSOE",True,"No","Fiber optic","No","No","No","No","No","No"
"2842-JTCCU",True,"No","DSL","No","No","No","No","No","No"
"3296-SILRA",True,"No","Fiber optic","No","Yes","No","No","No","No"
"9681-OXGVC",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"5180-UCIIQ",False,"No phone service","DSL","Yes","No","No","No","No","Yes"
"7153-OANIO",True,"No","Fiber optic","No","No","No","No","No","No"
"6521-YYTYI",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"8878-HMWBV",True,"No","DSL","No","No","Yes","No","No","No"
"3751-KTZEL",False,"No phone service","DSL","No","No","No","No","No","Yes"
"1977-STDKI",True,"No","Fiber optic","No","Yes","No","No","No","No"
"5813-UECBU",True,"Yes","Fiber optic","No","Yes","Yes","No","No","No"
"0328-GRPMV",True,"No","Fiber optic","No","No","No","No","No","No"
"4342-HENTK",True,"No","Fiber optic","No","No","No","No","No","No"
"9600-NAXZN",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"6457-USBER",True,"No","Fiber optic","No","No","No","No","No","Yes"
"4195-SMMNX",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"6956-SMUCM",True,"No","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"3223-WZWJM",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"9053-JZFKV",True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"2530-ENDWQ",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"6615-ZGEDR",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"9250-WYPLL",True,"Yes","Fiber optic","No","No","No","No","No","No"
"2754-XBHTB",True,"No","Fiber optic","No","No","No","No","Yes","No"
"1597-LHYNC",True,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes"
"7055-VKGDA",True,"No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes"
"0754-UKWQP",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"7493-TPUWZ",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"1577-HKTFG",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"8752-STIVR",True,"No","Fiber optic","No","No","No","No","Yes","No"
"4558-FANTW",True,"No","Fiber optic","Yes","No","No","Yes","Yes","No"
"8651-ENBZX",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"9330-IJWIO",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"9286-DOJGF",True,"Yes","Fiber optic","No","No","No","No","No","No"
"9661-MHUMO",True,"No","DSL","No","No","No","Yes","No","No"
"1842-EZJMK",True,"Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes"
"8079-XRJRS",True,"Yes","Fiber optic","Yes","Yes","Yes","No","No","No"
"8073-IJDCM",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"8884-ADFVN",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"2720-WGKHP",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"2869-ADAWR",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"9894-EZEWG",True,"No","Fiber optic","No","Yes","No","No","No","No"
"7851-FLGGQ",False,"No phone service","DSL","No","Yes","No","Yes","No","Yes"
"0637-UBJRP",True,"No","Fiber optic","Yes","No","No","No","No","Yes"
"0940-OUQEC",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0702-PGIBZ",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"1963-VAUKV",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3058-HJCUY",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"3259-FDWOY",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"0807-ZABDG",True,"No","DSL","Yes","No","No","Yes","No","No"
"5748-RNCJT",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"7739-LAXOG",True,"Yes","Fiber optic","No","No","Yes","No","No","Yes"
"9776-CLUJA",True,"Yes","Fiber optic","Yes","No","No","No","No","No"
"6034-ZRYCV",False,"No phone service","DSL","No","Yes","Yes","No","Yes","Yes"
"2079-FBMZK",True,"No","Fiber optic","No","No","No","No","No","No"
"6608-QQLVK",True,"No","DSL","No","No","Yes","No","No","No"
"3551-HUAZH",True,"Yes","Fiber optic","No","No","No","No","No","No"
"6302-JGYRJ",True,"Yes","DSL","No","Yes","No","Yes","Yes","Yes"
"3685-YLCMQ",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"8634-MPHTR",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"8761-NSOBC",True,"No","Fiber optic","No","Yes","No","Yes","Yes","Yes"
"8413-VONUO",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"9223-UCPVT",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"4351-QLCSU",True,"No","DSL","No","No","No","No","Yes","No"
"5419-JPRRN",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"2100-BDNSN",True,"Yes","DSL","No","No","Yes","Yes","Yes","No"
"0488-GSLFR",True,"No","Fiber optic","No","No","No","No","No","No"
"9318-NKNFC",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"9728-FTTVZ",True,"No","Fiber optic","No","No","No","No","No","No"
"7254-IQWOZ",True,"No","Fiber optic","No","No","No","No","No","No"
"2474-BRUCM",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"0742-NXBGR",True,"No","Fiber optic","No","Yes","Yes","No","No","No"
"6110-OHIHY",True,"No","Fiber optic","No","No","No","No","Yes","No"
"5889-LFOLL",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"5708-EVONK",True,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes"
"8708-XPXHZ",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"0616-ATFGB",False,"No phone service","DSL","No","No","No","No","No","No"
"7016-BPGEU",False,"No phone service","DSL","No","No","No","No","No","No"
"6876-ADESB",True,"No","DSL","No","No","Yes","No","No","No"
"1963-SVUCV",True,"No","DSL","No","No","No","No","No","No"
"0220-EBGCE",True,"No","Fiber optic","No","No","Yes","No","No","Yes"
"2754-VDLTR",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"3190-XFANI",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"7551-DACSP",True,"No","DSL","No","Yes","Yes","No","No","No"
"7235-NXZCP",True,"Yes","Fiber optic","No","No","No","No","No","No"
"0520-FDVVT",True,"No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"1444-VVSGW",True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"5712-PTIWW",True,"No","Fiber optic","No","No","Yes","Yes","No","No"
"3315-TOTBP",True,"Yes","Fiber optic","No","No","No","No","No","No"
"6661-HBGWL",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"1518-VOWAV",True,"No","DSL","Yes","Yes","No","No","Yes","Yes"
"5909-ECHUI",True,"No","DSL","No","No","No","No","No","Yes"
"1309-BXVOQ",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"9317-WZPGV",True,"No","Fiber optic","No","No","No","No","No","Yes"
"2856-HYAPG",True,"No","Fiber optic","No","No","No","No","No","No"
"4488-PSYCG",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3621-CEOVK",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"6906-ANDWJ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"1031-IIDEO",True,"No","Fiber optic","No","No","No","No","No","No"
"5832-XKAES",True,"No","Fiber optic","No","No","No","No","No","No"
"4701-AHWMW",False,"No phone service","DSL","No","No","Yes","Yes","Yes","Yes"
"9210-IAHGH",True,"No","DSL","No","No","No","Yes","Yes","Yes"
"0023-XUOPT",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","No"
"4592-IWTJI",False,"No phone service","DSL","Yes","No","No","No","No","No"
"7632-MNYOY",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"6518-LGAOV",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"7242-QZLXF",False,"No phone service","DSL","No","No","No","No","No","No"
"4576-CSAJH",True,"No","DSL","No","Yes","No","Yes","No","No"
"1000-AJSLD",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"1062-LHZOD",True,"No","Fiber optic","No","No","No","No","No","No"
"4662-EKDPQ",True,"Yes","DSL","No","No","No","No","No","Yes"
"9248-OJYKK",True,"Yes","Fiber optic","No","No","No","No","No","No"
"3398-FSHON",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"3319-DWOEP",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"9259-PACGQ",True,"Yes","DSL","Yes","Yes","No","Yes","No","No"
"4415-IJZTP",True,"Yes","Fiber optic","No","No","No","No","No","No"
"1465-VINDH",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"2810-FTLEM",True,"No","DSL","Yes","No","No","No","No","No"
"1925-TIBLE",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"0818-OCPZO",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"1447-GIQMR",True,"No","Fiber optic","No","No","No","No","No","No"
"0872-NXJYS",True,"No","Fiber optic","No","No","No","No","No","Yes"
"9412-ARGBX",True,"No","Fiber optic","No","Yes","Yes","Yes","Yes","No"
"1389-CXMLU",True,"Yes","Fiber optic","No","No","Yes","No","Yes","No"
"5561-NWEVX",True,"Yes","Fiber optic","No","No","Yes","No","No","No"
"2737-WFVYW",False,"No phone service","DSL","No","No","No","No","Yes","Yes"
"2272-QAGFO",True,"Yes","Fiber optic","No","No","No","No","No","No"
"9850-OWRHQ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"3768-NLUBH",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"8676-TRMJS",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7359-SSBJK",True,"No","DSL","Yes","Yes","No","Yes","Yes","No"
"0685-MLYYM",True,"No","Fiber optic","No","No","No","No","No","No"
"8182-PNAGI",True,"No","DSL","No","No","No","Yes","No","No"
"7957-RYHQD",True,"No","Fiber optic","Yes","Yes","No","No","No","No"
"2180-DXNEG",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"5515-AKOAJ",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"8976-OQHGT",True,"No","DSL","No","Yes","No","Yes","No","No"
"6230-BSUXY",True,"No","Fiber optic","No","No","Yes","No","No","Yes"
"5294-CDGWY",False,"No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes"
"5295-PCJOO",True,"No","DSL","Yes","No","No","No","No","No"
"9863-JZAIC",True,"No","DSL","No","No","No","No","Yes","No"
"7660-HDPJV",True,"No","Fiber optic","No","No","No","No","No","No"
"7931-PXHFC",True,"No","DSL","No","No","Yes","Yes","No","Yes"
"3990-QYKBE",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"4919-MOAVT",True,"No","Fiber optic","No","No","No","No","No","No"
"3090-HAWSU",True,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"9820-RMCQV",True,"No","DSL","Yes","No","No","No","No","No"
"7839-QRKXN",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"5204-QZXPU",False,"No phone service","DSL","No","No","Yes","No","Yes","No"
"4597-ELFTS",True,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"8450-JOVAH",True,"Yes","DSL","Yes","No","No","No","No","No"
"1113-IUJYX",True,"No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes"
"9274-CNFMO",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7758-XKCBS",False,"No phone service","DSL","No","No","No","Yes","No","No"
"8992-JQYUN",False,"No phone service","DSL","No","No","Yes","No","Yes","Yes"
"0617-AQNWT",False,"No phone service","DSL","Yes","No","Yes","Yes","No","Yes"
"2446-PLQVO",True,"No","Fiber optic","No","No","No","No","No","No"
"3005-NFMTA",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"8784-CGILN",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"5389-FFVKB",True,"No","Fiber optic","No","No","No","No","No","Yes"
"8444-WRIDW",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"9451-LPGOO",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"5868-YWPDW",True,"No","Fiber optic","No","Yes","No","No","No","Yes"
"2025-JKFWI",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"4078-SAYYN",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"9940-HPQPG",True,"Yes","Fiber optic","Yes","Yes","Yes","No","No","No"
"6618-RYATB",True,"Yes","Fiber optic","No","No","Yes","No","No","No"
"9079-YEXQJ",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"2685-SREOM",True,"Yes","Fiber optic","No","No","Yes","No","No","Yes"
"0402-CQAJN",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"6692-UDPJC",True,"Yes","Fiber optic","No","No","No","Yes","Yes","No"
"1273-MTETI",True,"Yes","Fiber optic","No","No","Yes","No","No","Yes"
"5480-HPRRX",False,"No phone service","DSL","No","No","No","No","No","No"
"0295-PPHDO",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"1195-OIYEJ",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"5906-CVLHP",True,"No","DSL","No","Yes","No","Yes","No","No"
"4501-EQDRN",True,"No","Fiber optic","No","No","No","No","No","No"
"2990-HWIML",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"7384-GHBPI",False,"No phone service","DSL","No","No","No","No","No","Yes"
"7603-USHJS",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7234-FECYN",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"5876-HZVZM",True,"No","DSL","Yes","Yes","No","No","No","No"
"1400-MMYXY",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"3085-QUOZK",True,"No","DSL","No","No","No","No","No","No"
"3926-CUQZX",True,"No","DSL","No","No","No","No","No","No"
"1041-RXHRA",True,"No","Fiber optic","No","No","No","No","No","No"
"1750-CSKKM",True,"No","DSL","No","No","No","No","Yes","No"
"7142-HVGBG",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"8267-ZNYVZ",True,"No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"6457-GIRWB",True,"No","Fiber optic","No","No","No","No","No","No"
"1450-SKCVI",True,"No","Fiber optic","No","Yes","No","No","No","No"
"5570-PTWEH",True,"Yes","Fiber optic","No","No","No","No","No","No"
"6502-MJQAE",True,"No","Fiber optic","No","No","No","No","No","No"
"7693-LCKZL",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0032-PGELS",False,"No phone service","DSL","Yes","No","No","No","No","No"
"6797-LNAQX",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"6394-MFYNG",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"1564-NTYXF",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"8155-IBNHG",True,"Yes","Fiber optic","No","No","No","No","No","No"
"0886-QGENL",True,"No","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"8739-WWKDU",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"8685-WHQPW",True,"Yes","Fiber optic","No","No","No","No","No","No"
"4745-LSPLO",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"8083-YTZES",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7240-FQLHE",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"6664-FPDAC",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"0786-VSSUD",False,"No phone service","DSL","No","Yes","No","No","Yes","No"
"3976-BWUCK",True,"Yes","Fiber optic","No","Yes","No","Yes","Yes","No"
"3585-ISXZP",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"6583-QGCSI",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"4174-LPGTI",True,"No","DSL","No","Yes","No","Yes","No","Yes"
"2108-XWMPY",False,"No phone service","DSL","Yes","Yes","No","No","No","No"
"6304-IJFSQ",True,"No","DSL","No","Yes","No","No","No","No"
